DATE,INDCPIALLMINMEI
1960-03-01,1.66441608038253
1960-04-01,1.67898427363723
1960-05-01,1.6899104185782599
1960-06-01,1.70447861187121
1960-07-01,1.7336149983806202
1960-08-01,1.7336149983806202
1960-09-01,1.7190468051259198
1960-10-01,1.7190468051259198
1960-11-01,1.70447861187121
1960-12-01,1.70447861187121
1961-01-01,1.6899104185782599
1961-02-01,1.6899104185782599
1961-03-01,1.70447861187121
1961-04-01,1.70447861187121
1961-05-01,1.70447861187121
1961-06-01,1.7190468051259198
1961-07-01,1.74818319163532
1961-08-01,1.7591093366146002
1961-09-01,1.7591093366146002
1961-10-01,1.7591093366146002
1961-11-01,1.7591093366146002
1961-12-01,1.7591093366146002
1962-01-01,1.74818319163532
1962-02-01,1.74818319163532
1962-03-01,1.74818319163532
1962-04-01,1.7591093366146002
1962-05-01,1.7736775298693002
1962-06-01,1.788245723124
1962-07-01,1.81374006131973
1962-08-01,1.8283082546126899
1962-09-01,1.8283082546126899
1962-10-01,1.84287644786739
1962-11-01,1.8283082546126899
1962-12-01,1.80281391637871
1963-01-01,1.788245723124
1963-02-01,1.7736775298693002
1963-03-01,1.788245723124
1963-04-01,1.80281391637871
1963-05-01,1.81374006131973
1963-06-01,1.84287644786739
1963-07-01,1.8574446411220902
1963-08-01,1.87201283437679
1963-09-01,1.8829389793560702
1963-10-01,1.8975071726107702
1963-11-01,1.8975071726107702
1963-12-01,1.92664355912018
1964-01-01,1.92664355912018
1964-02-01,1.9521378973541599
1964-03-01,1.9667060906088603
1964-04-01,1.98127428386356
1964-05-01,2.02133681535225
1964-06-01,2.06139934680268
1964-07-01,2.1196721198597404
1964-08-01,2.14516645809372
1964-09-01,2.1852289895824
1964-10-01,2.24350176260121
1964-11-01,2.24350176260121
1964-12-01,2.25442790758049
1965-01-01,2.26899610083519
1965-02-01,2.22893356934651
1965-03-01,2.1852289895824
1965-04-01,2.1997971828371097
1965-05-01,2.21436537609181
1965-06-01,2.24350176260121
1965-07-01,2.3090586323238798
1965-08-01,2.33819501883328
1965-09-01,2.3673314053426804
1965-10-01,2.3673314053426804
1965-11-01,2.37825755032196
1965-12-01,2.37825755032196
1966-01-01,2.37825755032196
1966-02-01,2.3928257435766698
1966-03-01,2.3928257435766698
1966-04-01,2.40739393683137
1966-05-01,2.4875189997704803
1966-06-01,2.54579177282754
1966-07-01,2.5858543043162303
1966-08-01,2.6113486425119503
1966-09-01,2.62591683580491
1966-10-01,2.64048502905961
1966-11-01,2.6696214155690097
1966-12-01,2.7096839470577003
1967-01-01,2.7096839470577003
1967-02-01,2.7242521403124
1967-03-01,2.74974647854638
1967-04-01,2.77888286505579
1967-05-01,2.83351358979917
1967-06-01,2.9027125077972595
1967-07-01,2.92820684603124
1967-08-01,2.9573432325406404
1967-09-01,2.94277503928594
1967-10-01,2.98283757073637
1967-11-01,2.97191142579535
1967-12-01,2.94277503928594
1968-01-01,3.02654215053873
1968-02-01,2.98283757073637
1968-03-01,2.92820684603124
1968-04-01,2.94277503928594
1968-05-01,2.91728070105196
1968-06-01,2.94277503928594
1968-07-01,2.92820684603124
1968-08-01,2.99376371571565
1968-09-01,3.0119739572840296
1968-10-01,3.02654215053873
1968-11-01,2.96098528085432
1968-12-01,2.8772181696015298
1969-01-01,2.8590079279948997
1969-02-01,2.8444397347402
1969-03-01,2.8590079279948997
1969-04-01,2.8772181696015298
1969-05-01,2.90999660442461
1969-06-01,2.99376371571565
1969-07-01,3.0119739572840296
1969-08-01,3.0119739572840296
1969-09-01,3.0119739572840296
1969-10-01,2.99376371571565
1969-11-01,2.9791955224227
1969-12-01,2.9791955224227
1970-01-01,2.9791955224227
1970-02-01,2.9791955224227
1970-03-01,3.0119739572840296
1970-04-01,3.0447523921071102
1970-05-01,3.07753082696844
1970-06-01,3.1139513101434497
1970-07-01,3.1285195033981497
1970-08-01,3.1467297449665295
1970-09-01,3.16129793822123
1970-10-01,3.17950817982786
1970-11-01,3.17950817982786
1970-12-01,3.1285195033981497
1971-01-01,3.0957410685368196
1971-02-01,3.0957410685368196
1971-03-01,3.0957410685368196
1971-04-01,3.0957410685368196
1971-05-01,3.0957410685368196
1971-06-01,3.1467297449665295
1971-07-01,3.19771842139624
1971-08-01,3.26327529108065
1971-09-01,3.29605372594198
1971-10-01,3.29605372594198
1971-11-01,3.31426396751036
1971-12-01,3.2814855326490293
1972-01-01,3.26327529108065
1972-02-01,3.24506504951227
1972-03-01,3.26327529108065
1972-04-01,3.2814855326490293
1972-05-01,3.29605372594198
1972-06-01,3.37982083719477
1972-07-01,3.4490197551928596
1972-08-01,3.48179819005419
1972-09-01,3.5000084316225695
1972-10-01,3.51457662487727
1972-11-01,3.5327868664456497
1972-12-01,3.5327868664456497
1973-01-01,3.5327868664456497
1973-02-01,3.5837755428753595
1973-03-01,3.63476421930507
1973-04-01,3.7185313305578602
1973-05-01,3.83507687667198
1973-06-01,3.91884398796302
1973-07-01,4.086378210468601
1973-08-01,4.15557712850494
1973-09-01,4.1737873700733195
1973-10-01,4.27212267458081
1973-11-01,4.355889785871851
1973-12-01,4.37410002744023
1974-01-01,4.43965689712464
1974-02-01,4.49064557355435
1974-03-01,4.625401361236849
1974-04-01,4.760157148919349
1974-05-01,4.94590161303156
1974-06-01,5.062447159145679
1974-07-01,5.233623430003191
1974-08-01,5.4011576525470195
1974-09-01,5.619680551482309
1974-10-01,5.63424874477526
1974-11-01,5.5686918750525995
1974-12-01,5.4849247637998095
1975-01-01,5.4849247637998095
1975-02-01,5.46671452223143
1975-03-01,5.4011576525470195
1975-04-01,5.4339360873701
1975-05-01,5.49949295705451
1975-06-01,5.51770319866114
1975-07-01,5.45214632897673
1975-08-01,5.4011576525470195
1975-09-01,5.368379217685691
1975-10-01,5.317390541255981
1975-11-01,5.2991802996876
1975-12-01,5.14621427043672
1976-01-01,5.015100531029651
1976-02-01,4.880344743347151
1976-03-01,4.81114582534906
1976-04-01,4.86213450177877
1976-05-01,4.880344743347151
1976-06-01,4.8949129366401
1976-07-01,4.99689028946127
1976-08-01,5.015100531029651
1976-09-01,5.08065740075231
1976-10-01,5.11343583557539
1976-11-01,5.14621427043672
1976-12-01,5.14621427043672
1977-01-01,5.1644245120051
1977-02-01,5.21541318843481
1977-03-01,5.24819162325789
1977-04-01,5.26640186486452
1977-05-01,5.35016897611731
1977-06-01,5.38294741094039
1977-07-01,5.46671452223143
1977-08-01,5.49949295705451
